group,r_nm,fit_density_mg_ml
$\text{IDP}_{50}$,12.975951903807616,8.18225327777128
$\text{IDP}_{50}$,13.026052104208418,7.850490200039957
$\text{IDP}_{50}$,13.076152304609218,7.53209688759793
$\text{IDP}_{50}$,13.12625250501002,7.2265502999687214
$\text{IDP}_{50}$,13.176352705410823,6.933346593266009
$\text{IDP}_{50}$,13.226452905811623,6.652000518380959
$\text{IDP}_{50}$,13.276553106212425,6.382044829379254
$\text{IDP}_{50}$,13.326653306613228,6.123029702760505
$\text{IDP}_{50}$,13.376753507014028,5.874522168132842
$\text{IDP}_{50}$,13.42685370741483,5.636105550762636
$\text{IDP}_{50}$,13.476953907815632,5.407378926375884
$\text{IDP}_{50}$,13.527054108216433,5.187956588511668
$\text{IDP}_{50}$,13.577154308617235,4.977467528657314
$\text{IDP}_{50}$,13.627254509018037,4.775554929333623
$\text{IDP}_{50}$,13.677354709418838,4.581875670240493
$\text{IDP}_{50}$,13.72745490981964,4.396099847522521
$\text{IDP}_{50}$,13.777555110220442,4.217910306168392
$\text{IDP}_{50}$,13.827655310621243,4.047002185516249
$\text{IDP}_{50}$,13.877755511022045,3.88308247780094
$\text{IDP}_{50}$,13.927855711422847,3.7258695996461597
$\text{IDP}_{50}$,13.977955911823647,3.5750929763762542
$\text{IDP}_{50}$,14.02805611222445,3.4304926389962134
$\text{IDP}_{50}$,14.078156312625252,3.291818833667662
$\text{IDP}_{50}$,14.128256513026052,3.158831643487588
$\text{IDP}_{50}$,14.178356713426854,3.0313006223623233
$\text{IDP}_{50}$,14.228456913827655,2.9090044407526534
$\text{IDP}_{50}$,14.278557114228457,2.7917305430569286
$\text{IDP}_{50}$,14.32865731462926,2.6792748163862825
$\text{IDP}_{50}$,14.37875751503006,2.5714412704803635
$\text{IDP}_{50}$,14.428857715430862,2.468041728504886
$\text{IDP}_{50}$,14.478957915831664,2.368895528466794
$\text{IDP}_{50}$,14.529058116232465,2.273829234979985
$\text{IDP}_{50}$,14.579158316633267,2.1826763611132947
$\text{IDP}_{50}$,14.629258517034069,2.0952771000486337
$\text{IDP}_{50}$,14.67935871743487,2.0114780662797784
$\text{IDP}_{50}$,14.729458917835672,1.9311320460811885
$\text{IDP}_{50}$,14.779559118236474,1.8540977569783195
$\text{IDP}_{50}$,14.829659318637274,1.7802396159531781
$\text{IDP}_{50}$,14.879759519038076,1.7094275161208543
$\text{IDP}_{50}$,14.929859719438879,1.6415366116168002
$\text{IDP}_{50}$,14.97995991983968,1.5764471104383802
$\text{IDP}_{50}$,15.030060120240481,1.5140440749868276
$\text{IDP}_{50}$,15.080160320641284,1.4542172300625111
$\text{IDP}_{50}$,15.130260521042084,1.3968607780691968
$\text{IDP}_{50}$,15.180360721442886,1.3418732211884503
$\text{IDP}_{50}$,15.230460921843688,1.2891571902912915
$\text{IDP}_{50}$,15.280561122244489,1.2386192803581935
$\text{IDP}_{50}$,15.330661322645291,1.1901698921848833
$\text{IDP}_{50}$,15.380761523046093,1.143723080156974
$\text{IDP}_{50}$,15.430861723446894,1.0991964058803205
$\text{IDP}_{50}$,15.480961923847696,1.0565107974630337
$\text{IDP}_{50}$,15.531062124248498,1.0155904142465602
$\text{IDP}_{50}$,15.581162324649299,0.9763625167922783
$\text{IDP}_{50}$,15.6312625250501,0.9387573419337514
$\text{IDP}_{50}$,15.681362725450903,0.9027079827110924
